Education,JobInvolvement,JobLevel,DailyRate(USD),MonthlyIncome(USD),NoofCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,TrainingTimesLastYear,PerformanceRating,Attrition
College,High,2,1102,5993,8,8,6,4,0,5,0,Excellent,Yes
Below College,Medium,2,279,5130,1,10,10,7,1,7,3,Outstanding,No
College,Medium,1,1373,2090,6,7,0,0,0,0,3,Excellent,Yes
Master,High,1,1392,2909,1,8,8,7,3,0,3,Excellent,No
Below College,High,1,591,3468,9,6,2,2,2,2,3,Excellent,No
College,High,1,1005,3068,0,8,7,7,3,6,2,Excellent,No
Bachelor,Very High,1,1324,2670,4,12,1,0,0,0,3,Outstanding,No
Below College,High,1,1358,2693,1,1,1,0,0,0,2,Outstanding,No
Bachelor,Medium,3,216,9526,0,10,9,7,1,8,2,Outstanding,No
Bachelor,High,2,1299,5237,6,17,7,7,7,7,3,Excellent,No
Bachelor,Very High,1,809,2426,0,6,5,4,0,3,5,Excellent,No
College,Medium,2,153,4193,0,10,9,5,0,8,3,Excellent,No
Below College,High,1,670,2911,1,5,5,2,4,3,1,Excellent,No
College,High,1,1346,2661,0,3,2,2,1,2,2,Excellent,No
Bachelor,Medium,1,103,2028,5,6,4,2,0,3,4,Excellent,Yes
Master,Very High,3,1389,9980,1,10,10,9,8,8,1,Excellent,No
College,Very High,1,334,3298,0,7,6,2,0,5,5,Excellent,No
College,Very High,1,1123,2935,1,1,1,0,0,0,2,Excellent,No
Master,Medium,4,1219,15427,2,31,25,8,3,7,3,Excellent,No
Bachelor,High,1,371,3944,5,6,3,2,1,2,3,Excellent,No
College,Very High,2,673,4011,0,5,4,2,1,3,5,Excellent,No
Master,Medium,1,1218,3407,7,10,5,3,0,3,4,Outstanding,Yes
Master,High,3,419,11994,0,13,12,6,2,11,4,Excellent,No
College,High,1,391,1232,1,0,0,0,0,0,6,Excellent,No
Below College,High,1,699,2960,2,8,4,2,1,3,2,Excellent,Yes
Bachelor,High,5,1282,19094,4,26,14,13,4,8,3,Excellent,No
Below College,Low,1,1125,3919,1,10,10,2,6,7,5,Outstanding,Yes
Master,High,2,691,6825,0,10,9,7,4,2,2,Excellent,No
Master,Medium,3,477,10248,3,24,22,6,5,17,4,Excellent,No
Master,High,5,705,18947,3,22,2,2,2,1,2,Excellent,No
Bachelor,High,1,924,2496,4,7,1,1,0,0,3,Excellent,No
Master,High,2,1459,6465,2,9,4,2,1,3,5,Excellent,No
College,Medium,1,125,2206,1,10,10,0,1,8,5,Excellent,No
Bachelor,High,2,895,2086,3,19,1,0,0,0,6,Excellent,Yes
Bachelor,High,1,813,2293,2,6,2,0,2,0,2,Excellent,Yes
College,Very High,1,1273,2645,1,6,5,3,1,4,3,Excellent,No
College,Medium,1,869,2683,1,3,3,2,0,2,2,Excellent,Yes
Bachelor,High,1,890,2014,1,2,2,2,2,2,3,Excellent,No
Master,Medium,1,852,3419,9,6,1,1,0,0,3,Excellent,No
Bachelor,Very High,2,1141,5376,2,10,5,3,1,3,3,Excellent,No
College,High,1,464,1951,1,1,1,0,0,0,3,Excellent,No
Master,High,1,1240,2341,1,1,1,0,0,0,6,Excellent,No
Bachelor,Low,1,1357,2293,1,1,1,0,0,1,2,Excellent,Yes
Bachelor,High,3,994,8726,1,9,9,8,1,7,0,Excellent,No
College,High,2,721,4011,1,12,12,8,3,7,2,Outstanding,No
Bachelor,High,5,1360,19545,1,23,22,15,15,8,0,Excellent,Yes
Master,High,2,1065,4568,0,10,9,5,8,7,2,Outstanding,No
College,High,1,408,3022,4,8,1,0,0,0,1,Outstanding,No
Master,High,2,1211,5772,4,14,9,6,0,8,4,Outstanding,No
